channel_name,channel_id,category,batch
hardy_q_anon,1362721191,qanon,2
igelbuzz,1403030052,qanon,2
infoneuezeit,1347724292,qanon,2
informationsbecken,1275788459,qanon,2
internationalcoronanews,2469244934,qanon,2
into_the_light_news,1364738787,qanon,2
jbaumann_puzzle,1374777971,qanon,2
junges_blut,1416594521,qanon,2
kanalcsabramowitsch,2478097254,qanon,2
kaninchenbau,1773516051,qanon,2
karolineseibt,1371552507,qanon,2
kessycuts,1533138183,qanon,2
marieallin,1167328291,qanon,2
marioamenti,1308327796,qanon,2
medusa_auge,1578841767,qanon,2
militar_beobachter,1469674924,qanon,2
neueswissen,1474883525,qanon,2
neustart0,1252495599,qanon,2
news1717,1166564094,qanon,2
nicissuchenachderwahrheit,1421334948,qanon,2
outoftheboxtv_kanal2,1210493429,qanon,2
postvonhajomueller,1795415954,qanon,2
preussenspatriotenelite,1261436823,qanon,2
q17trump,1453125197,qanon,2
q4u_news,1257206932,qanon,2
q74you,1408678981,qanon,2
q7_tartaria,1519040003,qanon,2
q7q17q2020q,1216012985,qanon,2
q_anonymous_kanal_deutschland,1230083227,qanon,2
q_erzgebirge_sachsen,1349271548,qanon,2
q_faktor_germany,1288383043,qanon,2
q_gold,1359384364,qanon,2
q_grundlagen_des_erwachens,1118067193,qanon,2
q_operation_gargamel_telegramm,1463762304,qanon,2
q_proofs,1317687194,qanon,2
qanalwwg1wga,1462426423,qanon,2
qanonaustria,1829717981,qanon,2
qanonpatriot17,1754427141,qanon,2
qanons17,1319276992,qanon,2
qanonwwg1wga17,1324430881,qanon,2
qbavaria,1303683270,qanon,2
qcr_meme_warfare,1383076907,qanon,2
qfsqwantum,1504007138,qanon,2
qhammernews,1229035243,qanon,2
qlobalcapitalnews,1482231056,qanon,2
qlobalchange,1285160972,qanon,2
qparadise,1493572821,qanon,2
qsrdeutsch,1663928607,qanon,2
qupuweltpostverein,2465716927,qanon,2
qwwg1wga16plus1,2188511407,qanon,2
r24_brennpunkt_archiv,1463310219,qanon,2
rebelsoulyah,1501086452,qanon,2
robert_franz_infokanal,1540515878,qanon,2
sebastiankarpf,1445578764,qanon,2
septemberwaskommt,1647343373,qanon,2
son_go_q,1426745549,qanon,2
songoq_backup,1341032103,qanon,2
standpunkt,1187196652,qanon,2
tat_sachen,1550754206,qanon,2
teichwwg1wga,1338603068,qanon,2
tiefimkaninchenbau,1323500656,qanon,2
volksnetzwerk,1516713650,qanon,2
wahrheitstraeumer,1220715723,qanon,2
wbgermany,1470335263,qanon,2
we_r_free,1217716282,qanon,2
weissesarmband2,1537227817,qanon,2
wwg1wgaworldwide,1234886150,qanon,2
x22_report_deutsch,1237658607,qanon,2
x_files_history,1332572569,qanon,2
akasha_tv,1269377997,esoterik,2
alleswasduzumlebenbrauchst,1128369473,esoterik,2
allversum,1469979702,esoterik,2
altesheilwissen,2425361122,esoterik,2
austauschschumannfrequenz,1227792503,esoterik,2
autarkgesund,1262050499,esoterik,2
avalonaktuell,1384384317,esoterik,2
ayse_meren_hp,1206333974,esoterik,2
bauernkarte,1228760468,esoterik,2
bewusst_vegan_froh,1353608589,esoterik,2
bewusstseinm,1414372111,esoterik,2
blickwinkel,1602424561,esoterik,2
blue_water_osmosefilter,1410558400,esoterik,2
booomaktuell,1571074848,esoterik,2
booomaktuellwenndiewelteingarten,1704073703,esoterik,2
chlordioxid,1495796620,esoterik,2
christinavondreien,1449430466,esoterik,2
cihoma,1588185942,esoterik,2
da_vulpes,1433300048,esoterik,2
daslichtiststark,1425492992,esoterik,2
dasstichwort,1224510840,esoterik,2
dietrichklinghardt,1273781857,esoterik,2
diezuversicht,1293138242,esoterik,2
doqusthreads,1390432407,esoterik,2
eineneueerde,1351583780,esoterik,2
einfachlynni,1376903071,esoterik,2
esisteinfach,1533573613,esoterik,2
esistvollbracht,1343113929,esoterik,2
exitmatrix777,1420404175,esoterik,2
experte_0815,1464363835,esoterik,2
fortsetzung_menschenreise,1344001583,esoterik,2
fr33dum,1006499585,esoterik,2
frankbraunpodcast,1446428476,esoterik,2
frankkoestler,1129401869,esoterik,2
freieenergie,1317534090,esoterik,2
freilernenfreileben,1320918868,esoterik,2
fuchskind_info,1472186816,esoterik,2
gaiadeutsch,1479202232,esoterik,2
geheimnis_gesundheit,1268760515,esoterik,2
geistheilersananda,1153430705,esoterik,2
gesund_menschenverstand,1587228803,esoterik,2
gesundbrunnen,1223326366,esoterik,2
gesundeinfos,1401242688,esoterik,2
gesundheitsecke,1116292659,esoterik,2
gesundohnemedikament,1663859747,esoterik,2
gesundohnemedikamente,1417034561,esoterik,2
gesundohnerezept,1263928896,esoterik,2
gottfriedsumser,1324434350,esoterik,2
gruppe_kolloidales_silber,1588383436,esoterik,2
handarbeitsmarkt,1207552087,esoterik,2
heiledichselbst1,1607771471,esoterik,2
heilerfolge,1450595685,esoterik,2
